,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
13-Sep,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Sep,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Sep,0,0,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Sep,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Sep,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Sep,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Sep,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Sep,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Sep,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Sep,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Sep,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
24-Sep,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Sep,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Sep,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Sep,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Sep,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Sep,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Sep,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Oct,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Oct,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Oct,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Oct,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Oct,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Oct,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Oct,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Oct,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-Oct,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Oct,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Oct,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Oct,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18-Oct,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Oct,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
20-Oct,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
21-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Oct,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
24-Oct,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Oct,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Oct,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0
27-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Nov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Nov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Nov,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Nov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Nov,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
6-Nov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Nov,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
8-Nov,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0
9-Nov,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
10-Nov,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
11-Nov,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
12-Nov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Nov,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
14-Nov,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Nov,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Nov,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
17-Nov,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
18-Nov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
19-Nov,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
20-Nov,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
21-Nov,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0
22-Nov,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
23-Nov,0,,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
24-Nov,0,,,0,,0,0,,,0,0,,0,0,0,0,0,0,,0,0,0
25-Nov,0,,,,,0,0,,,0,0,,0,0,0,0,0,0,,0,0,0
26-Nov,0,0,,,,,0,,,0,0,,0,0,0,0,0,0,,0,0,
27-Nov,0,0,,,,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,
28-Nov,0,0,,,,,0,0,,0,,,0,,0,0,0,0,,0,0,
29-Nov,0,0,,,,,0,0,,0,0,,,,0,0,0,0,,0,0,
30-Nov,0,,,,,,,0,,0,0,,,,0,,0,0,,0,0,
1-Dec,0,,,,,,,,,0,0,,,,,,0,0,,0,0,
2-Dec,0,,,,,,,,,0,0,,,,0,,0,0,,0,0,
3-Dec,0,,,,,,,,,,0,,,,,,0,0,,0,0,
4-Dec,0,,,,,,,,,,,,,,0,,0,0,,0,0,
5-Dec,,,,,,,,,,,,,,,0,,0,0,,,,
6-Dec,,,,,,,,,,,,,,,,,0,0,,,,
7-Dec,,,,,,,,,,,,,,,,,0,0,,,,
8-Dec,,,,,,,,,,,,,,,,,0,0,,,,
